,precip,month,year
1/1/2021,21.1792,1,2021
2/1/2021,38.6164,2,2021
3/1/2021,16.0604,3,2021
4/1/2021,27.4323,4,2021
5/1/2021,64.5909,5,2021
6/1/2021,23.9715,6,2021
7/1/2021,19.0407,7,2021
8/1/2021,54.1052,8,2021
9/1/2021,11.3879,9,2021
10/1/2021,40.1225,10,2021
11/1/2021,26.2001,11,2021
12/1/2021,44.963,12,2021
1/1/2022,24.2864,1,2022
2/1/2022,19.8238,2,2022
3/1/2022,28.5161,3,2022
4/1/2022,53.317,4,2022
5/1/2022,63.8267,5,2022
6/1/2022,77.9915,6,2022
7/1/2022,51.4412,7,2022
8/1/2022,24.244,8,2022
9/1/2022,24.0077,9,2022
10/1/2022,46.1477,10,2022
11/1/2022,35.2626,11,2022
12/1/2022,42.2893,12,2022
1/1/2023,20.2934,1,2023
2/1/2023,27.5515,2,2023
3/1/2023,34.1973,3,2023
4/1/2023,33.2058,4,2023
5/1/2023,75.5193,5,2023
6/1/2023,110.8077,6,2023
7/1/2023,23.8325,7,2023
8/1/2023,46.191,8,2023
9/1/2023,44.6827,9,2023
10/1/2023,46.2135,10,2023
11/1/2023,22.8555,11,2023
12/1/2023,17.8889,12,2023
1/1/2024,23.9618,1,2024
2/1/2024,37.5387,2,2024
3/1/2024,31.699,3,2024
4/1/2024,36.8517,4,2024
5/1/2024,91.1361,5,2024
6/1/2024,51.4877,6,2024
7/1/2024,25.2604,7,2024
8/1/2024,45.1041,8,2024
9/1/2024,45.7775,9,2024
